Location;Participants;Cost
Greenwich Village, Manhattan;Ghost Rider, Sub-Mariner, Zatanna vs. Plastic Man;$3000
Belmont, Bronx;Agent Liberty, Bruce Wayne, Captain Marvel, Conan the Barbarian, Elektra, Hawkeye, Incredible Hulk, Judomaster, Orin, Owlwoman vs. Kamandi, Ridder;$21000
East Harlem, Manhattan;Ant-Man, Doctor Strange, Ghost Rider, Hawkeye, Marvelman vs. Conan the Barbarian, Kate Spencer, Wasp, Zatanna;$3000
Castle Hill, Bronx;Daredevil, Karate Kid, Raven vs. Atom, Rocketeer;$0
Roosevelt Island, Manhattan;Batgirl, Black Canary, Iron Man, Lagoon Boy, Plastic Man, Poison Ivy, Wasp vs. Agent Liberty, Asterix, Bruce Wayne, Captain America, Catwoman, Elektra, Jericho, Ray, Superman;$5000
Little Italy, Manhattan;Agent Liberty, Ant-Man, Elektra, Gangbuster, Green Arrow, Hawkeye, Huntress, Iron Fist, Poison Ivy, Starfire, Vixen, Wasp, Zatanna vs. Black Panther;$17000
Lenox Hill, Manhattan;Ant-Man, X-Men vs. Avengers;$5000
Brooklyn Heights, Brooklyn;Elektra, Green Arrow, Robin, Speedy, Spider-Man vs. Captain Marvel;$0
Gramercy Park, Manhattan;Asterix, Iron Man, Marvelman, Ozymandias vs. Mr. Terrific, Supergirl;$1000
East Village, Manhattan;Iron Fist vs. Spider-Man;$4000
Chinatown, Manhattan;Lagoon Boy, Nightwing vs. Mr. Terrific;$4000
Coney Island, Brooklyn;Batman, Doctor Strange, Kate Spencer, Ridder vs. Batwoman, Huntress, Incredible Hulk, Ozymandias, Silk Spectre;$7000
Coney Island, Brooklyn;Avengers, Owlman vs. Agent Liberty, Atom Smasher, Black Canary, Incredible Hulk, Iron Fist, Rocketeer, Starfire;$4000
Castle Hill, Bronx;Green Lantern, Power Girl, Zatanna vs. Booster Gold, Kate Spencer, Shining Knight;$4000
Gramercy Park, Manhattan;Wolverine vs. Ant-Man, Black Panther, Wasp, X-Men;$15000
Bushwick, Brooklyn;Catwoman vs. Animal Man, Superman;$5000
East Harlem, Manhattan;Ant-Man, Catwoman, Lagoon Boy vs. Hank Hall;$1000
Castle Hill, Bronx;Agent Liberty, Batman, Superman, Vixen, X-Men vs. Spider-Man, Zatanna;$1000
Harlem, Manhattan;Ant-Man, Teenage Mutant Ninja Turtles, Wonder Girl vs. Booster Gold, Green Arrow, Rocket Red;$3000
Flatiron District, Manhattan;Batwoman, Plastic Man vs. Batman, Conan the Barbarian, Lagoon Boy, Marvelman, Mary Marvel, Ozymandias;$7000
Chinatown, Manhattan;Aquaman, Black Canary vs. Asterix, Captain Marvel, Incredible Hulk, Rocketeer, Superman, X-Men;$2000
Morningside Heights, Manhattan;Thor, Zatanna vs. Captain America, Daredevil;$2000
Morningside Heights, Manhattan;Ant-Man, Atom, Elektra, Plastic Man, Wolverine vs. Firestorm, Teenage Mutant Ninja Turtles, Wasp;$1000
Morningside Heights, Manhattan;Raven vs. Batman, Black Canary, Robin;$11000
Koreatown, Manhattan;Conan the Barbarian, Doc Savage, Iron Fist vs. Asterix, Atom, Batman, Starfire;$3000
Greenpoint, Brooklyn;Conan the Barbarian, Incredible Hulk, Marvelman, Vixen vs. Guardians of the Galaxy, Plastic Man, Robin;$21000
Jackson Heights, Queens;Ant-Man, Cyborg, Doctor Strange, Karate Kid, Spider-Man, Zatanna vs. Calendar Man;$0
Williamsburg, Brooklyn;Iron Man, Robin vs. Atom, Hawkeye;$5000
Park Slope, Brooklyn;Mr. Terrific, Static Shock vs. Ant-Man, Atom, Black Canary, Captain America, Defenders, Rorschach;$0
Brooklyn Heights, Brooklyn;Batman, Incredible Hulk, Orin vs. Ant-Man, Black Canary, Iron Fist, Vigilante;$10000
Meatpacking District, Manhattan;Black Canary, Bruce Wayne, Captain Marvel, Conan the Barbarian, Guardians of the Galaxy, S.T.R.I.P.E., Shining Knight, Starfire, Watchmen, Zatanna vs. Wasp;$2000
Morningside Heights, Manhattan;Batgirl, Defenders, Doctor Strange, Huntress, Miss Martian, Owlman, Wasp vs. Asterix, Calendar Man, Hank Hall, Plastic Man;$1000
Roosevelt Island, Manhattan;Starfire vs. Atom;$0
Morningside Heights, Manhattan;Owlwoman vs. Zatanna;$3000
Park Slope, Brooklyn;Aquaman, Black Panther, Catwoman, Iron Man, Shadow vs. Green Arrow, Incredible Hulk;$4000
Flatiron District, Manhattan;Asterix, Ozymandias, Vixen, Wasp, Zatanna vs. Batgirl, Cassandra Cain, Guardians of the Galaxy;$1000
Tribeca, Manhattan;Asterix, Rocket Red, Zatanna, Zatara vs. Superman;$7000
Lenox Hill, Manhattan;Bruce Wayne, Ray vs. Asterix, Elektra, Incredible Hulk, Watchmen, Zatara;$5000
Upper East Side, Manhattan;Bruce Wayne, Green Lantern, Incredible Hulk, Rocketeer, Solomon Grundy, Superman vs. Teenage Mutant Ninja Turtles;$3000
Meatpacking District, Manhattan;Batwoman, Kid Flash, Mas y Menos, Mr. Terrific, Nightwing, Plastic Man, Ridder, Rocketeer, Starfire, Stephanie Brown, Zatanna vs. Atom, Black Panther, Conan the Barbarian, Kate Spencer;$8000
Bushwick, Brooklyn;Captain Marvel, Daredevil, Impulse, Kate Spencer, Wildcat vs. Beast Boy, Marvelman;$4000
Chinatown, Manhattan;Ozymandias vs. Ghost Rider, Rocketeer;$4000
Flatiron District, Manhattan;Karate Kid, Red Arrow, Tiger vs. Aquaman, Damian Wayne, Daredevil;$5000
Little Italy, Manhattan;Batman, Conan the Barbarian, Iron Man vs. Batwoman, Constantin, Lagoon Boy, Teenage Mutant Ninja Turtles, Watchmen, Wonder Woman;$5000
Pelham Gardens, Bronx;Atom vs. Black Canary, Lagoon Boy, Marvelman;$4000
SoHo, Manhattan;Asterix vs. Avengers, Elektra, Green Lantern, Marvelman, Orin, Owlwoman, Shadow, Superman, Zatara;$16000
Park Slope, Brooklyn;Iron Fist vs. Captain America, Jonah Hex, Plastic Man, Wolverine;$5000
Hell's Kitchen, Manhattan;Bronze Tiger, Daredevil vs. Asterix, Starfire;$3000
Koreatown, Manhattan;Ant-Man, Booster Gold, Defenders, Green Arrow, Krypta, Marvelman vs. Plastic Man;$1000
Jamaica, Queens;Green Arrow, Marvelman, Supergirl vs. Agent Liberty, Elektra, Hawkeye, Jericho, Power Girl;$0
Flatiron District, Manhattan;Incredible Hulk, Karate Kid, Zatanna vs. Iron Man, Marvelman;$2000
Greenpoint, Brooklyn;Asterix, Atom, Bruce Wayne, Robin vs. Karate Kid;$2000
Gramercy Park, Manhattan;Ant-Man, Batgirl, Batman, Black Canary, Black Panther, Gangbuster, Huntress, Plastic Man, Wolverine, Zatanna, Zatara vs. Aquaman, Batwoman, Defenders, Incredible Hulk, Kate Spencer, Marvelman, Rocketeer;$23000
Tribeca, Manhattan;Batwoman, Beast Boy, Hawkeye, Hellboy, Iron Man, Ozymandias, Raven vs. Avengers, Black Panther, Elektra, Supergirl;$5000
Chinatown, Manhattan;Asterix, Power Girl, Zatara vs. Wolverine;$0
SoHo, Manhattan;Aztec, Black Panther, Defenders, Kate Spencer vs. Flash, Oracle, Ozymandias, X-Men;$8000
Washington Heights, Manhattan;Ant-Man, Conan the Barbarian, Huntress, Power Girl, Raven, Ridder, S.T.R.I.P.E., Star-Spangled Kid vs. Dollar Bill, Ghost Rider, Ray;$14000
Coney Island, Brooklyn;Captain Marvel, Rocketeer vs. Ant-Man, Hawkgirl, Superman;$1000
Meatpacking District, Manhattan;Raven vs. Ant-Man;$1000
SoHo, Manhattan;Ghost Rider, Wasp vs. Captain America, Conan the Barbarian, Marvelman, Owlwoman, Wolverine;$6000
Little Italy, Manhattan;Elektra, Marvelman, Orin, Supergirl, Zatanna vs. Asterix;$15000
Harlem, Manhattan;Iron Man, Raven, Spider-Man vs. Asterix, Atom, Batwoman, Bruce Wayne, Karate Kid, Marvelman, Sub-Mariner, Teenage Mutant Ninja Turtles;$7000
Jamaica, Queens;Batman, Captain America, Karate Kid, Katana, Shadow vs. Conan the Barbarian, Green Lantern, Incredible Hulk;$10000
Tribeca, Manhattan;Black Canary, Doc Savage, Judomaster, Mr. Terrific, Plastic Man, Poison Ivy, Teenage Mutant Ninja Turtles, Zatanna vs. Orin;$7000
East Village, Manhattan;Aztec, Black Canary vs. Captain Marvel;$2000
Little Italy, Manhattan;Orin vs. Agent Liberty, Avengers, Cassandra Cain, Incredible Hulk, Tiger;$0
Washington Heights, Manhattan;Doc Savage vs. Ant-Man, Captain America, Marvelman, Shadow, Sub-Mariner, Vixen, Zatanna;$10000
DUMBO, Brooklyn;Marvelman vs. Daredevil;$0
Upper East Side, Manhattan;Robin, Shadow vs. Conan the Barbarian, Guardians of the Galaxy;$2000
Meatpacking District, Manhattan;Captain Metropolis, Ice vs. Bronze Tiger, Zatanna, Zatara;$5000
Union Square, Manhattan;Black Canary, Bruce Wayne vs. Guardians of the Galaxy, Incredible Hulk;$1000
Harlem, Manhattan;Conan the Barbarian, Plastic Man vs. Green Lantern, Guardians of the Galaxy, Gypsy;$13000
Meatpacking District, Manhattan;Batman, Black Canary, Captain Marvel, Elektra, Huntress, Impulse, Incredible Hulk, Iron Man, Jericho, Karate Kid, Lagoon Boy, Plastic Man, Robin, Spider-Man, Sub-Mariner, Teenage Mutant Ninja Turtles, Wonder Woman, X-Men, Zatara vs. Defenders, Ghost Rider, Iron Fist, Nightwing, Owlwoman, Ridder, Rocketeer, Shadow, Vixen;$90000
Koreatown, Manhattan;Asterix, Green Lantern, Marvelman, Plastic Man, Wasp, Zatanna vs. Black Canary, Elektra;$2000
Coney Island, Brooklyn;Catwoman, Marvelman vs. Agent Liberty, Aquaman, Asterix, Avengers, Black Canary, Captain America, Captain Marvel, Conan the Barbarian, Green Lantern, Robin, Wolverine;$43000
Lenox Hill, Manhattan;Asterix, Green Arrow, Supergirl vs. Owlman, Ozymandias, Thor, Vigilante;$7000
Bushwick, Brooklyn;Black Canary, Booster Gold, Calendar Man, Conan the Barbarian, Incredible Hulk, Plastic Man, Stephanie Brown vs. X-Men;$10000
Lenox Hill, Manhattan;Cyborg, Hal Jordan, Terry McGinnis vs. Guardians of the Galaxy, Kate Spencer, Vixen;$0
Greenpoint, Brooklyn;Avengers, Aztec, Marvelman, Sub-Mariner vs. Catwoman, Ghost Rider, Judomaster, Starfire, Superman, Teenage Mutant Ninja Turtles;$20000
Washington Heights, Manhattan;Green Arrow vs. Black Canary, Calendar Man, Green Lantern, Static Shock;$1000
Castle Hill, Bronx;Avengers, Poison Ivy, Teenage Mutant Ninja Turtles vs. Conan the Barbarian;$9000
Tribeca, Manhattan;Iron Man, Power Girl, Rocketeer vs. Black Canary, Conan the Barbarian, Ridder, Silk Spectre, Vixen;$18000
Crown Heights, Brooklyn;Teenage Mutant Ninja Turtles vs. Batman, Batwoman, Black Canary, Black Panther, Calendar Man, Conan the Barbarian, Daredevil, Defenders, Doc Savage, Hawkeye, Impulse, Iron Man, Marvelman, Orin, Ozymandias, Plastic Man, Poison Ivy, Ray, Ridder, Rocketeer, Spider-Man, Superman, Vigilante;$98000
Brooklyn Heights, Brooklyn;Batgirl, Constantin, Ghost Rider, Guardians of the Galaxy, Orin, Ridder, Robin, Zatanna vs. Ant-Man, Beast Boy, Bronze Tiger, Daredevil, Lagoon Boy, Tim Drake;$21000
Roosevelt Island, Manhattan;Green Arrow, Hawkeye vs. Aquaman, Atom, Batman, Batwoman, Beast Boy, Black Canary, Captain Marvel, Kamandi, Plastic Man, Sub-Mariner, Zatanna;$7000
Bushwick, Brooklyn;Starfire vs. Agent Liberty, Damian Wayne, Daredevil, Hawkgirl, Lagoon Boy;$9000
Castle Hill, Bronx;Kate Spencer vs. Agent Liberty;$0
East Harlem, Manhattan;Avengers, Black Panther, Conan the Barbarian, Elektra, Incredible Hulk, Iron Man, Superman vs. Jonah Hex, Kamandi;$8000
Crown Heights, Brooklyn;Ant-Man, Black Canary vs. Asterix, Atom, Speedy, Zatanna;$7000
East Harlem, Manhattan;Ant-Man, Avengers, Daredevil, Guardians of the Galaxy, Kamandi, S.T.R.I.P.E., Sub-Mariner vs. Wolverine;$0
Upper East Side, Manhattan;Karate Kid, Marvelman, Rorschach vs. Black Canary, Black Panther, Doctor Strange, Wasp;$5000
East Village, Manhattan;Calendar Man, Daredevil, Incredible Hulk, Iron Man, Katana, Superman vs. Asterix;$3000
Castle Hill, Bronx;Avengers, Damian Wayne, Doctor Strange, Wasp, Zatara vs. Bruce Wayne, Green Lantern, Kate Spencer, Ridder;$6000
Lenox Hill, Manhattan;Ant-Man, Avengers, Gypsy, Huntress, Incredible Hulk, Iron Man, Superman, Wonder Woman vs. Bruce Wayne, Jonah Hex, Mr. Terrific, Plastic Man, Stephanie Brown, Wasp, Wolverine, Zatanna, Zatara;$5000
Midtown, Manhattan;Gangbuster, Green Lantern, Superman vs. Ant-Man, Catwoman, Iron Man, Nightwing, Rocketeer, Supergirl, Wonder Woman;$6000
Roosevelt Island, Manhattan;Ant-Man, Incredible Hulk, Orin, Teenage Mutant Ninja Turtles, Terry McGinnis, Wasp, Zatara vs. Agent Liberty, Avengers, Lagoon Boy;$6000
East Village, Manhattan;Orin, Solomon Grundy vs. Atom, Blue Beetle, Defenders, Ozymandias, Plastic Man, V;$1000
SoHo, Manhattan;Black Canary, Green Lantern, Guardians of the Galaxy, Red Arrow vs. Elektra, Hawkeye, Starfire, Vixen;$3000
Greenpoint, Brooklyn;Ant-Man, Black Canary, Bronze Tiger, Green Arrow, Incredible Hulk, Judomaster, Plastic Man, S.T.R.I.P.E., Star-Spangled Kid, Supergirl, Superman, Teenage Mutant Ninja Turtles vs. Lagoon Boy;$10000
Jamaica, Queens;Batgirl, Captain Marvel, Catwoman, Incredible Hulk, Kamandi vs. Krypta;$7000
Washington Heights, Manhattan;Black Canary, Ghost Rider, Iron Man, Lagoon Boy, Mary Marvel, Wolverine vs. Ant-Man, Catwoman, Fire, Iron Fist, Shadow;$3000
Gramercy Park, Manhattan;Animal Man, Avengers, Iron Man, Marvelman vs. X-Men;$25000
DUMBO, Brooklyn;Beast Boy, Black Canary, Black Panther, Bruce Wayne, Catwoman, Elektra, Incredible Hulk, Marvelman, Plastic Man, Ridder, Rocketeer, Teenage Mutant Ninja Turtles vs. Poison Ivy;$11000
Koreatown, Manhattan;Avengers, Green Arrow, Shadow vs. Huntress, Sub-Mariner, Zatanna;$7000
Greenpoint, Brooklyn;Dollar Bill, Wasp vs. Beast Boy, Guardians of the Galaxy, Wolverine;$0
SoHo, Manhattan;Avengers, Gangbuster, Ice, Raven, Teenage Mutant Ninja Turtles vs. Batman, Black Canary, Ghost Rider, Ozymandias, Rocket Red, Wasp;$30000
Park Slope, Brooklyn;Black Panther, Shining Knight vs. Agent Liberty, Elektra, Firestorm, Ghost Rider, Green Lantern, Marvelman, Mas y Menos, Orin, Wonder Woman;$7000
Chelsea, Manhattan;Incredible Hulk vs. Captain Metropolis, Robin, Sub-Mariner;$0
Koreatown, Manhattan;Batgirl, Black Panther, Conan the Barbarian, S.T.R.I.P.E. vs. V, Zatanna;$1000
Little Italy, Manhattan;Animal Man, Defenders, Spider-Man, Superman, Teenage Mutant Ninja Turtles, Zatanna vs. Guardians of the Galaxy, Wasp;$6000
Nolita, Manhattan;Batgirl, Batman, Cassandra Cain, Fire, Teenage Mutant Ninja Turtles, Wolverine vs. Kate Spencer, Starfire;$3000
Koreatown, Manhattan;Conan the Barbarian vs. Incredible Hulk, Marvelman, Robin, Superman;$1000
Midtown, Manhattan;Aquaman, Zatanna vs. Black Canary, Fire, Sub-Mariner;$3000
Lenox Hill, Manhattan;Mr. Terrific vs. X-Men;$0
Bushwick, Brooklyn;Arsenal, Superman, Wonder Woman, Zatanna vs. Lagoon Boy;$1000
Carroll Gardens, Brooklyn;Ghost Rider, Wasp vs. Captain Marvel, Green Arrow;$6000
Meatpacking District, Manhattan;Conan the Barbarian, Doctor Strange, Guardians of the Galaxy, Impulse, Kate Spencer, Kid Flash, Lagoon Boy vs. Rocketeer;$10000
Koreatown, Manhattan;Booster Gold vs. Black Canary, Captain America, Captain Marvel, Captain Metropolis, Elektra, Hawkeye, Hellboy, Owlman, Plastic Man, Rocketeer, Spider-Man, Teenage Mutant Ninja Turtles;$18000
Koreatown, Manhattan;Batman, Doc Savage, Lagoon Boy vs. Conan the Barbarian;$5000
Chelsea, Manhattan;Gangbuster, Plastic Man, Teenage Mutant Ninja Turtles vs. Animal Man, Conan the Barbarian, Iron Man, Vixen, Zatanna;$10000
Williamsburg, Brooklyn;Iron Man vs. Mas y Menos, Stephanie Brown, Tiger, Wolverine;$0
Gramercy Park, Manhattan;Defenders, Hawkeye, Zatanna vs. Blue Beetle;$3000
Lenox Hill, Manhattan;Captain America vs. Black Panther, Captain Marvel, Kate Spencer, Poison Ivy;$3000
Pelham Gardens, Bronx;Asterix, Captain Marvel, Guardians of the Galaxy, Iron Man, Jericho, Kate Spencer, Robin, Supergirl, Wasp, Wolverine, Wonder Woman vs. Aisha, Avengers, Calendar Man, Captain America, Miss Martian, Poison Ivy;$1000
Chinatown, Manhattan;Batman vs. Teenage Mutant Ninja Turtles, Zatanna;$0
