Location;Participants;Cost
Bespin, Rebel Alliance;Bren Derlin, Daultay Dofine, Ebe E. Endocott, Joclad Danva, Lieutenant Watts, Mawhonic, Mercurial Swift, Moff Delian Mors, Niima the Hutt vs. Admiral Firmus Piett, Black Krrsantan;$7000
Kamino, The Empire;Rako Hardeen vs. Che Amanwe Papanoida, Chief Chirpa, Ima-Gun Di, Joclad Danva, Osi Sobeck;$1000
Concord Dawn, Rebel Alliance;Captain Phasma, Feral, Quarrie vs. 0-0-0, Avengers, Boba Fett, Darth Maul, Finn, Shara Bey;$11000
Scarif, Manhattan;Avengers, Beru Whitesun Lars, Bodhi Rook, Eli Vanto, Jom Barell, Longo Two-Guns, Obi-Wan Kenobi, Rako Hardeen, Savage Opress, Zam Wesell vs. Clone Trooper Fives, R5-D4, Sarkli;$6000
Hell's Kitchen, Manhattan;Agen Kolar, Avengers, Bo-Katan Kryze, Cassian Andor, Chief Chirpa, Cordé, Inquisitor: Fifth Brother, Inquisitors, Iron Man, Jango Fett, Oola, Orson Krennic, Quarrie, R4-G9, Saesee Tiin, Watchmen vs. Bazine Netal, Lyn Me, Sarkli, Teedo;$26000
Scarif, Manhattan;Pooja Naberrie vs. Jocasta Nu, Luke Skywalker, R2-D2, Sly Moore;$8000
Tatooine, Manhattan;Ciena Ree, Daultay Dofine, Grand Admiral Thrawn, Lieutenant Watts, Longo Two-Guns, Luminara Unduli, San Hill, Shaak Ti vs. Ahsoka Tano, Avengers, Baze Malbus, Grand Inquisitor, Ransolm Casterfo, Savage Opress, The Bendu, Wuher;$12000
Mon Cala, The Empire;General Cassio Tagge, Jyn Erso vs. 4-LOM, San Hill, Supreme Leader Snoke;$0
Kashyyyk, The Empire;Depa Billaba, General Crix Madine, Ketsu Onyo, Ona Nobis, Oola vs. 2-1B, Adi Gallia, Amee, Anakin Skywalker, BB-8, Luminara Unduli, Poe Dameron, R5-J2;$2000
Scarif, Manhattan;Salacious B. Crumb vs. Adi Gallia, Greedo, Rorschach, Unkar Plutt;$13000
Sullust, Manhattan;Ben Quadinaros, Bo-Katan Kryze, Borvo the Hutt, Embo, General Maximilian Veers, Jom Barell, Joph Seastriker, Lieutenant Watts, Queen Breha Organa, Salacious B. Crumb, Wolverine, Ziro the Hutt vs. Grand Inquisitor;$7000
Coruscant, Rebel Alliance;Avengers, Owen Lars vs. Krayn, Longo Two-Guns, Queen Apailana, Sergeant Kreel;$2000
Bespin, Rebel Alliance;8D8, Ciena Ree, Depa Billaba, Embo, Pablo-Jill, Sana Starros, Sinjir Rath Velus, Wolverine vs. Agent Kallus, Baze Malbus, Finn, Ric Olié;$11000
Scarif, Manhattan;Rey vs. Romba;$0
Mon Cala, The Empire;Avengers, Ben Quadinaros, Boba Fett, Han Solo, Shara Bey vs. Che Amanwe Papanoida, Commander Bly, Finn, RA-7, Sabine Wren;$9000
Jedha, The Empire;Boba Fett, Ebe E. Endocott, Luke Skywalker, Teedo vs. Avengers, Leia Organa;$1000
Tatooine, Manhattan;Moff Tiaan Jerjerrod vs. 8D8, Admiral Gial Ackbar, General Crix Madine, Luke Skywalker;$1000
Bespin, Rebel Alliance;Bo-Katan Kryze, Ezra Bridger, FX-7, San Hill, Sinjir Rath Velus vs. Greer Sonnel, Leia Organa, Lieutenant Watts;$5000
Concord Dawn, Rebel Alliance;Cliegg Lars, Dormé, Riff Tamson vs. Bazine Netal, Jyn Erso, Watchmen;$20000
Umbara, Manhattan;Moralo Eval vs. Avengers, Jubnuk, Ona Nobis, Wolverine;$10000
Alderaan, Rebel Alliance;Watto vs. Jyn Erso, Shu Mai;$1000
Mon Cala, The Empire;Darth Maul vs. Che Amanwe Papanoida, Padmé Amidala, Rey, Ryoo Naberrie, Watchmen;$5000
Coruscant, Rebel Alliance;R2-D2 vs. Borvo the Hutt, Romba;$2000
Yavin, Manhattan;Commander Wolffe, Jan Dodonna, Kanan Jarrus, Kylo Ren, Nute Gunray, Ona Nobis, Wullf Yularen vs. Aiolin and Morit Astarte, Asajj Ventress, Avengers, Greedo, Iron Man, Jango Fett, Longo Two-Guns, Orson Krennic, Pong Krell, Ryoo Naberrie, San Hill, X-Men;$21000
Bespin, Rebel Alliance;Jango Fett vs. Adi Gallia, Captain Phasma, Lando Calrissian, Lieutenant Thire, Lott Dod, Moff Tiaan Jerjerrod, Orson Krennic, Palpatine, R2-D2, Wuher;$0
Mandalore, The Empire;Aurra Sing, Avengers, General Crix Madine, Joclad Danva, Rogue Squadron, Salacious B. Crumb, Shaak Ti, Watchmen, Wolverine vs. Captain Phasma, Daultay Dofine, Ellé;$12000
Coruscant, Rebel Alliance;Luminara Unduli vs. Asajj Ventress, Boba Fett, C-3PO, Ciena Ree, Jyn Erso, Leia Organa, R2-KT, Watchmen, Zev Senesca;$5000
Nal Hutta, The Empire;Ki-Adi-Mundi vs. Captain Phasma, Leia Organa, Sarkli, U9-C4, Wicket W. Warrick;$15000
Kashyyyk, The Empire;Shara Bey vs. Admiral Trench, Jango Fett, Karina the Great, Oppo Rancisis, Rogue Squadron, Salacious B. Crumb, Sergeant Kreel, Thor, Wedge Antilles, Yoda;$2000
Concord Dawn, Rebel Alliance;Alton Kastle, Ezra Bridger, Kanan Jarrus, King Katuunko vs. Avengers, San Hill;$7000
Kashyyyk, The Empire;Riff Tamson, Zam Wesell vs. 2-1B, Che Amanwe Papanoida, Greeata Jendowanian, Gungi, R5-J2;$8000
Tatooine, Manhattan;Leia Organa, Lyn Me, Wat Tambor, Watchmen, X-Men vs. Gungi, Joclad Danva, R2-D2;$2000
Hosnian Prime, The Empire;Han Solo vs. Obi-Wan Kenobi;$1000
Kashyyyk, The Empire;Admiral Gial Ackbar, Avengers vs. Captain Phasma;$2000
Jedha, The Empire;Anakin Skywalker, Darth Maul, Gungi, K-2SO, Oola vs. Agent Kallus, Alton Kastle, Leia Organa, Luminara Unduli, PZ-4CO, R4-G9;$19000
Endor, Rebel Alliance;Avengers, Cad Bane, Clone Trooper Tup, Commander Bly, Joclad Danva, Kylo Ren, Moff Tiaan Jerjerrod, Watchmen, Zev Senesca vs. Jango Fett, Ree-Yees;$4000
Kashyyyk, The Empire;Avengers, FN-2199, Poggle the Lesser, R2-D2 vs. Ciena Ree, Depa Billaba;$4000
Nal Hutta, The Empire;Avengers vs. Chirrut Îmwe, Momaw Nadon, Orson Krennic, Rey, Rogue Squadron, Rorschach, Shu Mai;$9000
Endor, Rebel Alliance;Boss Rugor Nass, Commander Bly, Dormé, IG-88, Mama the Hutt vs. Finn, Luminara Unduli, Shu Mai;$4000
Lothal, The Empire;Mawhonic, Queen Breha Organa vs. C-3PO, Captain Jeremoch Colton, Grand Admiral Thrawn;$5000
Bespin, Rebel Alliance;Avengers, Chirrut Îmwe, R2-D2, Sinjir Rath Velus vs. Count Dooku, Luke Skywalker, Maz Kanata, Moff Tiaan Jerjerrod, Mon Mothma, Nahdar Vebb, Riff Tamson;$7000
Dathomir, Rebel Alliance;Clone Trooper Fives, Ezra Bridger, Gardulla the Hutt, Gonk droid, Jubnuk, Jyn Erso, Orson Krennic, Padmé Amidala, Queen Miraj Scintel, Rorschach, Sergeant Kreel, Thor, Wat Tambor vs. Clone Trooper Tup;$6000
Umbara, Manhattan;4-LOM, Black Krrsantan, Che Amanwe Papanoida, Commander Fox, Grand Admiral Thrawn, Longo Two-Guns, Paploo, R2-KT, Rogue Squadron, San Hill, Sly Moore, Wag Too vs. Asajj Ventress;$16000
Naboo, The Empire;Cliegg Lars, Dengar, X-Men vs. Admiral Terrinald Screed, Boba Fett, General Grievous, Greedo, R4-G9;$3000
Mon Cala, The Empire;Chirrut Îmwe, Jubnuk, Lieutenant Thire, Rogue Squadron vs. Gardulla the Hutt;$8000
Mustafar, The Empire;Cad Bane, Paploo, Quarrie, RA-7 vs. Adi Gallia, Admiral Conan Antonio Motti, Cassian Andor, FN-2199, Rey;$10000
Kashyyyk, The Empire;Clone Trooper Fives, Po Nudo Paul, Ponda Baba vs. Iron Man, Sinjir Rath Velus;$0
Kashyyyk, The Empire;Bazine Netal, Po Nudo Paul, Riff Tamson vs. Bodhi Rook, Yoda;$3000
Concord Dawn, Rebel Alliance;Avengers, Boba Fett, Captain Phasma, Leia Organa, Mace Windu, Sola Naberrie vs. Chirrut Îmwe;$12000
Mandalore, The Empire;Avengers, Clone 99, Daultay Dofine, Moradmin Bast, Rey, Salacious B. Crumb vs. Asajj Ventress, Captain Phasma, Ebe E. Endocott, General Maximilian Veers, Jom Barell, Lieutenant Watts, Longo Two-Guns, Padmé Amidala, Queen Apailana, Queen Miraj Scintel, Romba, Watchmen, Wolverine, Yoda, Zam Wesell;$42000
Jedha, The Empire;Onaconda Farr vs. Biggs Darklighter;$3000
Sullust, Manhattan;Captain Phasma, Han Solo, Jan Dodonna vs. Darth Maul, Darth Plagueis, Jobal Naberrie, Sana Starros;$3000
Dathomir, Rebel Alliance;Ahsoka Tano, Chirrut Îmwe, Iron Man, Quinlan Vos, Sergeant Kreel, Wolverine vs. Teebo;$5000
Mon Cala, The Empire;Commander Fox, Commander Wolffe, Inquisitors, Palpatine, X-Men vs. Cassian Andor, Cordé, Jango Fett;$5000
Hosnian Prime, The Empire;Rey vs. Garrick Versio, Saelt-Marae;$2000
Hosnian Prime, The Empire;Boba Fett, Clone Trooper Fives, Commander Fox, Ransolm Casterfo vs. Baze Malbus, Captain Phasma, General Crix Madine, Luminara Unduli, Ponda Baba, Sabine Wren;$4000
Rodia, Manhattan;AP-5 vs. Supreme Leader Snoke;$1000
Yavin, Manhattan;Admiral Trench, Bren Derlin, Morley, Padmé Amidala, R2-D2 vs. Eli Vanto, Nien Nunb, Wolverine;$14000
Kashyyyk, The Empire;Ben Quadinaros, R2-D2 vs. Admiral Kendal Ozzel, Ellé, Feral, Iron Man, Pagetti Rook, Salacious B. Crumb;$0
Mandalore, The Empire;Count Dooku, Ketsu Onyo, Royal Guard vs. Finis Valorum;$3000
Kashyyyk, The Empire;Baze Malbus, Cham Syndulla, Greedo vs. Avengers, Barriss Offee, Longo Two-Guns, Ona Nobis, Rorschach, Watchmen;$21000
Scarif, Manhattan;Letta Turmond vs. Captain Lorth Needa, San Hill;$3000
Tatooine, Manhattan;Riff Tamson vs. Avengers, Bodhi Rook, Dapp, Garrick Versio, Kylo Ren, Rey;$30000
Hosnian Prime, The Empire;Baze Malbus vs. Almec;$0
Kashyyyk, The Empire;Embo vs. Luke Skywalker;$3000
Naboo, The Empire;Has Obbit, Pablo-Jill, Salacious B. Crumb vs. Embo;$2000
Kashyyyk, The Empire;Moralo Eval, Rey, Sarkli vs. Ahsoka Tano, Nute Gunray;$5000
Corellia, Rebel Alliance;Admiral Gial Ackbar vs. Captain Phasma, Dexter Jettster;$0
Subterrel, Manhattan;Greer Sonnel, Zev Senesca vs. Black Krrsantan, Count Dooku;$1000
Alderaan, Rebel Alliance;Avengers, Iron Man, Janus Greejatus, Padmé Amidala vs. Moteé, R2-D2, R4-P17, Rey, Sarkli;$26000
Yavin, Manhattan;Cassian Andor vs. Avengers, Captain Panaka, Commander Fil, Finn;$4000
Yavin, Manhattan;Baze Malbus, Bodhi Rook, Chirrut Îmwe, Finn, Greer Sonnel, Oola, Paploo, R2-D2, Wolverine vs. Ciena Ree, Teedo;$39000
Onderon, Manhattan;Longo Two-Guns vs. 4-LOM, Beru Whitesun Lars;$4000
Kamino, The Empire;Admiral Gial Ackbar vs. Berch Teller;$3000
Concord Dawn, Rebel Alliance;Feral, Iron Man, Niima the Hutt, Salacious B. Crumb vs. Cliegg Lars, Yoda;$2000
Hosnian Prime, The Empire;Luke Skywalker, Obi-Wan Kenobi, Pong Krell vs. Alton Kastle, Captain Gregor, Cliegg Lars;$2000
Geonosis, The Empire;Captain Phasma, R2-KT vs. Ciena Ree, R2-D2, Watchmen, Zam Wesell, Ziro the Hutt;$0
Concord Dawn, Rebel Alliance;Tessek vs. C-3PO, Count Dooku, Lando Calrissian, Padmé Amidala, Rorschach, Wat Tambor;$22000
Tatooine, Manhattan;Aiolin and Morit Astarte, Beru Whitesun Lars, Finn, Inquisitors, Pablo-Jill, Watchmen vs. Captain Gregor, Gungi, Snaggletooth;$0
Kashyyyk, The Empire;Ahri Raas, C-3PO, Cassian Andor, Che Amanwe Papanoida, Embo, Shu Mai vs. Rorschach;$1000
Yavin, Manhattan;Padmé Amidala vs. Boba Fett;$1000
Concord Dawn, Rebel Alliance;Commander Bly, Embo vs. Alton Kastle, Luminara Unduli;$1000
Scarif, Manhattan;Ebe E. Endocott, Eneb Ray, Rey, Ric Olié, San Hill, Watchmen vs. Ben Quadinaros;$7000
Tatooine, Manhattan;Admiral Conan Antonio Motti, Bodhi Rook, Supreme Leader Snoke vs. San Hill;$0
Hell's Kitchen, Manhattan;General Crix Madine, Malé-Dee vs. Commander Wolffe, Savage Opress;$1000
Kashyyyk, The Empire;Commander Bly, San Hill vs. Luke Skywalker, Pablo-Jill, Royal Guard;$4000
Onderon, Manhattan;Avengers, Count Dooku, Palpatine, San Hill, Wullf Yularen vs. Brendol Hux, Cassian Andor, Eirtaé, Inquisitor: Fifth Brother;$28000
Concord Dawn, Rebel Alliance;Dapp, Moteé vs. Lando Calrissian, Leia Organa, Luke Skywalker;$3000
Bespin, Rebel Alliance;Droopy McCool, Momaw Nadon, Wolverine vs. Amee, Watchmen;$0
Tatooine, Manhattan;Chief Chirpa, Grand Admiral Thrawn, Kylo Ren vs. Baze Malbus, Commander Bly, Faro Argyus, Gavyn Sykes, Leia Organa, Max Rebo, Supreme Leader Snoke, Tion Medon, Wolverine;$1000
Kashyyyk, The Empire;Darth Maul, Letta Turmond, Mace Windu, Rey vs. Garazeb Orrelios, Momaw Nadon;$8000
Scarif, Manhattan;4-LOM, Adi Gallia, Grand Admiral Thrawn, Moralo Eval, Watchmen vs. Wollivan;$5000
Jedha, The Empire;Admiral Terrinald Screed, Avengers, Queen Miraj Scintel, Wolverine vs. Captain Phasma, General Maximilian Veers;$8000
Bespin, Rebel Alliance;Han Solo, Mother Talzin, Onaconda Farr, Wedge Antilles vs. Commander Bly, Ellé, Luminara Unduli, Pre Vizsla, Rorschach;$7000
Nal Hutta, The Empire;Lando Calrissian, Rorschach vs. Joph Seastriker, Jyn Erso, Lieutenant Watts, Poggle the Lesser, Wolverine;$10000
Concord Dawn, Rebel Alliance;Dapp, Longo Two-Guns vs. Almec, Captain Lorth Needa, Che Amanwe Papanoida, General Crix Madine;$0
Nal Hutta, The Empire;Captain Phasma vs. Admiral Conan Antonio Motti, Cordé, Shmi Skywalker;$0
Hell's Kitchen, Manhattan;Mama the Hutt vs. Agent Kallus, Aiolin and Morit Astarte, Doctor Aphra, Kylo Ren, Rorschach;$0
Alderaan, Rebel Alliance;Cliegg Lars, Pre Vizsla, Rey vs. Arvel Crynyd, Gonk droid, Orson Krennic;$7000
Hosnian Prime, The Empire;Admiral Kendal Ozzel, Ellé vs. BB-8, Sinjir Rath Velus, Zuckuss;$4000
Concord Dawn, Rebel Alliance;Bo-Katan Kryze, Boba Fett, Commander Wolffe, Doctor Aphra, Luminara Unduli, Moteé, Obi-Wan Kenobi, Pooja Naberrie vs. Satine Kryze;$1000
Dathomir, Rebel Alliance;Dormé, R2-KT, Sora Bulq, Tarfful, Watchmen, X-Men vs. 2-1B, Shmi Skywalker;$0
Mon Cala, The Empire;Cliegg Lars, Dormé, Jom Barell, Luminara Unduli, Morley, Salacious B. Crumb, Wedge Antilles vs. San Hill;$6000
Geonosis, The Empire;Morley vs. Boba Fett;$0
Tatooine, Manhattan;4-LOM, General Crix Madine, Governor Arihnda Pryce, Inquisitors, Jom Barell, Mon Mothma, Pooja Naberrie, R5-D4, Rey, Rorschach, Warlug, Watchmen, Wolverine, Wuher vs. Chief Chirpa;$7000
Kamino, The Empire;Boba Fett, Logray, Orson Krennic vs. Han Solo, Romba;$0
Sullust, Manhattan;Wolverine vs. Longo Two-Guns;$0
Bespin, Rebel Alliance;Commander Bly, Han Solo, Wedge Antilles vs. Admiral Conan Antonio Motti, Baze Malbus, Gungi, Rorschach;$1000
Dathomir, Rebel Alliance;Padmé Amidala vs. R2-D2;$3000
Concord Dawn, Rebel Alliance;Lott Dod, Wuher vs. Longo Two-Guns;$9000
Kamino, The Empire;Berch Teller, Darth Maul, Doctor Aphra, Finn, Jobal Naberrie, Maz Kanata vs. Moff Delian Mors;$6000
Lothal, The Empire;Doctor Aphra, Luminara Unduli, Rako Hardeen, Thor vs. BB-8, Embo, Inquisitors, Teedo, Wedge Antilles;$10000
Yavin, Manhattan;Alton Kastle, Bazine Netal, Dengar, Jyn Erso, Mawhonic, Nute Gunray, R2-D2, Rey, Savage Opress, Saw Gerrera, Sinjir Rath Velus vs. Baze Malbus, Finn, Jek Tono Porkins, Rogue Squadron;$4000
Kashyyyk, The Empire;Amee vs. Avengers, BB-8, Baze Malbus, Captain Roos Tarpals, Commander Wolffe, Daultay Dofine, Dormé, Gavyn Sykes, Letta Turmond, Luminara Unduli, R2-D2, Rabé, Rey, Rogue Squadron, Watchmen;$11000
Dagobah, Rebel Alliance;Grand Moff Wilhuff Tarkin, Quinlan Vos vs. Bren Derlin;$0
Kamino, The Empire;Che Amanwe Papanoida, Cliegg Lars, Palpatine vs. Nahdonnis Praji, Obi-Wan Kenobi, Romba;$6000
Hosnian Prime, The Empire;BB-8, Meena Tills vs. Luke Skywalker, Oola, Tikkes, Yarael Poof;$7000
Alderaan, Rebel Alliance;Greedo vs. Bodhi Rook, Commander Wolffe, Iron Man, Mace Windu, Mother Talzin, R2-KT, Shu Mai, Yoda;$0
Kashyyyk, The Empire;Asajj Ventress, Commander Bly, Joclad Danva, Lieutenant Watts vs. Beru Whitesun Lars, Max Rebo, Tessek, Wat Tambor;$1000
Onderon, Manhattan;Admiral Firmus Piett, Cassian Andor, Cordé, Max Rebo, Wolverine vs. Ahsoka Tano, Garindan, Jobal Naberrie, Meena Tills, X-Men;$11000
Kashyyyk, The Empire;2-1B, 8D8, BB-8, Beru Whitesun Lars, Han Solo, Jyn Erso, Moteé, Norra Wexley, Teedo vs. Janus Greejatus, Orson Krennic, Shara Bey;$9000
Concord Dawn, Rebel Alliance;Admiral Gial Ackbar, Aiolin and Morit Astarte, Chief Chirpa, Hevy, Jar Jar Binks, Mercurial Swift, Mina Bonteri, Moralo Eval, Mother Talzin, Obi-Wan Kenobi, R2-D2, R5-D4, Taun We vs. Inquisitors, Saché, Sola Naberrie, Wolverine;$5000
Concord Dawn, Rebel Alliance;Admiral Conan Antonio Motti, Captain Phasma, Count Dooku, Mercurial Swift, Rey vs. Captain Jeremoch Colton;$11000
Bespin, Rebel Alliance;Greeata Jendowanian, Iron Man, Rogue Squadron, Tion Medon vs. Aiolin and Morit Astarte, Baze Malbus, Boba Fett, Captain Phasma, Queen Breha Organa, Shaak Ti;$4000
Scarif, Manhattan;Niima the Hutt, Paploo, Quarrie, Rey, Rorschach, Sinjir Rath Velus vs. Captain Phasma, Iron Man, R2-KT, RA-7;$6000
Concord Dawn, Rebel Alliance;Ezra Bridger, Shmi Skywalker vs. Avengers, BB-8, Captain Panaka, Inquisitor: Seventh Sister, Luke Skywalker, Rorschach, Unkar Plutt;$1000
Endor, Rebel Alliance;Adi Gallia, Kylo Ren vs. Cad Bane, Daultay Dofine, Faro Argyus;$9000
Geonosis, The Empire;Agent Kallus, Barriss Offee, Boss Rugor Nass, Chewbacca, Chief Chirpa, Jom Barell, Letta Turmond, Orson Krennic, Pablo-Jill, Padmé Amidala, Queen Miraj Scintel, Wag Too vs. Gungi, Jyn Erso;$8000
Kashyyyk, The Empire;Has Obbit vs. 2-1B, Adi Gallia, Admiral Conan Antonio Motti, Avengers, Captain Phasma, Commander Bly, Yané;$9000
Sullust, Manhattan;Moralo Eval, Shu Mai, Watchmen vs. Bren Derlin;$5000
Dathomir, Rebel Alliance;Wuher vs. Asajj Ventress, Cassian Andor, Rappertunie, Teebo, Tulon Voidgazer;$5000
Onderon, Manhattan;Nute Gunray vs. Moff Tiaan Jerjerrod;$3000
Dathomir, Rebel Alliance;Daultay Dofine vs. Agen Kolar, Ona Nobis, Oola, Shaak Ti, Tikkes;$3000
Geonosis, The Empire;Avengers, Padmé Amidala vs. Embo, Gungi;$5000
Hosnian Prime, The Empire;Ellé, Gavyn Sykes, Jom Barell, Mace Windu, Padmé Amidala, Poe Dameron, Pong Krell, Queen Apailana, Watchmen vs. Admiral Conan Antonio Motti, Barriss Offee, R5-J2, Ree-Yees, Rey;$10000
Yavin, Manhattan;Cliegg Lars vs. Avengers;$1000
Geonosis, The Empire;Avengers, Captain Phasma, Finn, Has Obbit, Kylo Ren, Luminara Unduli, R2-KT, Rey, Sarkli, Wolverine vs. Baze Malbus;$4000
Yavin, Manhattan;Rey, Rogue Squadron, Watchmen vs. Greedo, Ketsu Onyo, Lando Calrissian;$5000
Tatooine, Manhattan;Poe Dameron, Ric Olié vs. Garindan;$2000
Kashyyyk, The Empire;R2-KT vs. R2-D2, Wullf Yularen;$2000
Mon Cala, The Empire;Rey vs. Arvel Crynyd;$6000
Onderon, Manhattan;Commander Fox vs. Boss Rugor Nass, Rorschach;$0
Hosnian Prime, The Empire;Moralo Eval vs. Ki-Adi-Mundi, Wolverine;$2000
Concord Dawn, Rebel Alliance;Riff Tamson vs. Boba Fett;$1000
Hosnian Prime, The Empire;Salacious B. Crumb vs. Satine Kryze;$3000
Hosnian Prime, The Empire;Dormé, Mina Bonteri, Sinjir Rath Velus vs. Captain Jeremoch Colton, EV-9D9, Han Solo, Inquisitors, Jobal Naberrie, Leia Organa, Padmé Amidala, Saesee Tiin, Taun We, X-Men;$13000
Naboo, The Empire;Boba Fett, Cordé, Onaconda Farr vs. Anakin Skywalker;$1000
Kashyyyk, The Empire;C-3PO, Doctor Cornelius vs. Wuher, Yarael Poof;$5000
Kamino, The Empire;Agen Kolar, Pong Krell vs. Chewbacca, Jek Tono Porkins;$1000
